Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Total
AnnualSum,-2.1284548058743715e7,1.411787041932721e7,4.387075710542884e6,-1.1326319592013685e6,161798.54709571,-5.205303512137623e6,5.797583062100584e6,571160.2153605574,-295799.8817213136,-4.0094814709637575e6,-242816.34341262322,0.0,-1.1669530005776177e6,1.3922729007375843e6,-2.8057284894155115e6,126475.06800814181,-408655.4562882969,160668.0903612137,-5.925500621160206e6,-3.2271764976155846e6,-1.6684548034944276e6,1.934979291175426e6,-1.68901668510015e6,1.2183545193498044e6,-1.620255029377517e6,-643142.679680112,960512.0196147575,3.5776376370572904e6,2.2829865056507442e7,2.687984360742322e7,1.21371883609293e7,308727.61232727056,1.7658653471317654e6,2.072434510811381e7,6.772675808427414e7
t1,0.0,3305.205644367357,0.0,-600.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,-715.0,0.0,591.7099240063336,-215.48765707263414,0.0,0.0,0.0,-600.0,-4500.0,-630.0,101.9037174376841,-1716.0,0.0,772.5786874519467,1400.0,4000.0,5000.0,2600.0,0.0,0.0,0.0,9994.910316190686
t2,0.0,2883.2600062682345,0.0,-600.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,-715.0,0.0,247.1097294644444,-502.37285798981253,0.0,0.0,-1400.0,-600.0,-4500.0,-630.0,500.0,-1716.0,0.0,1266.1896799696153,1400.0,4000.0,5000.0,2600.0,0.0,0.0,0.0,8433.18655771248
t3,0.0,2959.5608567008685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.7663105946659,0.0,0.0,-715.0,-1501.1764573281255,59.81810447464607,-519.1793396109714,0.0,0.0,0.0,-600.0,-4500.0,-630.0,500.0,-1716.0,0.0,0.0,0.0,4000.0,5000.0,2600.0,0.0,0.0,0.0,5889.789474831084
t4,0.0,2965.800419163535,0.0,-600.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,-147.21437316415197,-715.0,-432.7928943457425,0.0,-286.1041807687847,0.0,0.0,0.0,-600.0,-4500.0,-550.5461301083456,500.0,-1716.0,0.0,0.0,1400.0,4000.0,5000.0,2600.0,0.0,700.0,0.0,8818.14284077651
t5,0.0,3015.3811765965797,0.0,-600.0,0.0,0.0,0.0,0.0,0.0,1371.9758360401765,1200.0,0.0,-277.8849865585085,-316.439351496014,-580.072978679823,0.0,-2.8894134455759986,0.0,0.0,0.0,-600.0,-4500.0,-272.9437872468278,500.0,-1716.0,0.0,0.0,0.0,4000.0,5000.0,2600.0,0.0,0.0,0.0,8821.126495210006
t6,0.0,2939.5347379155833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,-490.96276544328185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,-4500.0,64.35161875509863,500.0,-1538.6174514864363,0.0,327.7439202510886,1400.0,4000.0,5000.0,2600.0,0.0,0.0,0.0,10902.050059992052
t7,0.0,2947.4665977750315,0.0,-600.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,-317.1748683256177,0.0,0.0,-232.80740352104087,0.0,0.0,-248.61088292178786,0.0,-600.0,-4500.0,0.0,500.0,-813.8192819073286,0.0,0.0,1400.0,4000.0,5000.0,2600.0,0.0,0.0,0.0,10335.054161099255
t8,0.0,3070.0720654803335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,-378.9676590266367,0.0,0.0,-2.604964585483809,0.0,0.0,-1214.9719543163342,0.0,-600.0,-4500.0,0.0,500.0,-176.53484150093078,0.0,0.0,1400.0,4000.0,5000.0,2600.0,0.0,0.0,0.0,10896.992646050949
t9,0.0,3352.0024953111915,0.0,-600.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,-107.67923221220632,0.0,0.0,0.0,-515.4893555988242,0.0,-1695.7301367107075,-1400.0,-600.0,-4500.0,259.50730194410795,500.0,0.0,0.0,0.0,1400.0,4000.0,5000.0,2600.0,0.0,0.0,0.0,8892.611072733562
