Region,Resource,Zone,Cluster,AnnualSum
None,must_run_DE,11,1,8.40606112932282e9
None,coal_lignite_DE,11,1,0.0
None,coal_hard_DE,11,1,0.0
None,coal_hard_CCS_DE,11,1,0.0
None,coal_hard_CCS_retrofit_DE,11,1,0.0
None,coal_lignite_CCS_DE,11,1,0.0
None,biogas_OC_DE,11,1,0.0
None,biomass_DE,11,1,0.0
None,biomass_CCS_DE,11,1,0.0
None,gas_CC_CCS_DE,11,1,1.799295254976878e10
None,gas_CC_CCS_retrofit_DE,11,1,1.5409014960529743e10
None,gas_CC_DE,11,1,0.0
None,gas_CC_existing_DE,11,1,0.0
None,gas_OC_DE,11,1,0.0
None,gas_OC_existing_DE,11,1,0.0
None,wind_offshore_fixed_existing_DE,11,1,21270.564900726997
None,wind_offshore_fixed_DE,11,1,1.6886821904728846e10
None,wind_offshore_floating_DE,11,1,0.0
None,wind_onshore_existing_DE,11,1,12188.306372143275
None,wind_onshore_DE,11,1,2.5016616626592392e10
None,solar_existing_DE,11,1,3821.8898847238866
None,solar_DE,11,1,1.259509826841913e10
None,hydro_pumped_storage_DE,11,1,1.0436337467990205e9
None,battery_storage_DE,11,1,5.815743833389384e9
None,hydrogen_OC_storage_DE,11,1,0.0
None,hydrogen_CC_storage_DE,11,1,8.596632217424002e9
None,nuclear_PL,12,1,7.441551505863695e9
None,must_run_PL,12,1,3.802483424532088e8
None,coal_lignite_PL,12,1,0.0
None,coal_hard_PL,12,1,0.0
None,gas_CC_CCS_PL,12,1,1.1000840512299936e9
None,gas_CC_PL,12,1,1.3862111426742659e9
None,gas_OC_PL,12,1,6.049695569443663e7
None,wind_offshore_existing_PL,12,1,0.0
None,wind_offshore_PL,12,1,0.0
None,wind_onshore_existing_PL,12,1,4.377381075761766e7
None,wind_onshore_PL,12,1,3.370376035078806e9
None,solar_existing_PL,12,1,0.0
None,solar_PL,12,1,5.668558651673875e8
None,battery_PL,12,1,6.589949263674262e8
None,nuclear_BT,13,1,1.0428644069706701e9
None,nuclear_new_BT,13,1,0.0
None,oilshale_BT,13,1,0.0
None,must_run_BT,13,1,5.438820056643764e8
None,gas_BT,13,1,0.0
None,wind_offshore_BT,13,1,2.872060024762947e7
None,wind_offshore_new_BT,13,1,0.0
None,wind_onshore_BT,13,1,8.581800986091055e8
None,wind_onshore_new_BT,13,1,0.0
None,solar_existing_BT,13,1,0.0
None,solar_BT,13,1,1.8020650506456926e8
None,nuclear_UK,14,1,8.30337675651298e9
None,coal_hard_UK,14,1,0.0
None,gas_CC_CCS_UK,14,1,2.7463262968673183e10
None,gas_CC_UK,14,1,55862.01796006944
None,gas_OC_UK,14,1,1.31518584228112e9
