Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17
,,,,,,,27,12276.388545,4867.588753,20650.120383,5275.302050,16040.294011,3888.619791,3515.700700,19125.501987,5747.711145,4486.221768,154656.347208,19832.609166,3896.793396,75385.769365,117930.001278,44963.746776,24787.279353
,,,,,,,28,12228.423924,4767.053356,19596.909984,4956.806243,16270.089746,3918.664576,3541.789655,19092.829140,5944.008145,4482.474201,150860.550042,20026.755393,3946.652709,71270.312572,114112.382593,42258.905391,24265.192265
,,,,,,,29,12243.677962,4759.781867,18537.172380,4763.459907,16997.914857,4069.108475,3627.999715,19273.684333,6499.120734,4538.892871,155318.952164,20766.302431,4207.352613,65552.617499,111849.620766,40088.934774,23710.910689
,,,,,,,30,12139.418287,4544.242400,15640.611874,4054.357407,18616.344372,4346.143011,3803.867855,19329.394838,7150.047834,4696.949096,149818.684149,23213.630008,4647.017729,61737.228797,115916.170936,38260.138214,24022.256116
,,,,,,,31,12173.610594,4621.245762,15593.786124,4268.769733,20341.157204,4579.748174,4022.461785,19139.633791,7422.891994,5039.648987,156146.740125,24836.900616,5051.853954,57528.668690,118874.917200,36914.242317,25306.557140
,,,,,,,32,12184.681286,4671.185168,15890.231621,4462.500922,21115.008966,4649.156530,4114.897881,18945.844374,7462.991157,5413.280799,158197.740607,25727.794224,5305.121295,56673.964435,121465.134892,37530.271844,26510.614022
,,,,,,,33,12187.399190,4711.753967,16236.488415,4616.093764,21506.988897,4683.968470,4156.342642,18900.251917,7527.569824,5647.244555,158114.976494,26263.408028,5412.807851,61671.645913,123658.299183,40491.175285,27195.700755
,,,,,,,34,12184.501643,4732.289427,16464.460720,4723.252228,21914.565512,4733.683866,4196.716513,18951.458614,7464.185681,5795.789394,157521.250345,26409.509582,5417.354771,68777.570363,123539.841111,43638.346034,27465.404705
,,,,,,,35,12169.559073,4706.429233,16349.192260,4680.452685,22055.189102,4751.699856,4228.008420,19039.963497,7291.313150,5863.283717,155354.585720,26606.053110,5363.616526,74944.535611,123668.311719,46462.900236,27847.964655
,,,,,,,36,12159.012134,4687.598971,16270.034367,4621.928997,21950.786656,4746.637638,4211.484943,19092.360996,7207.501423,5834.960704,153344.568347,26760.394952,5343.239566,81301.237293,124232.906844,48431.934653,27966.961421
,,,,,,,37,12149.518815,4673.591195,16232.616044,4588.601352,21792.542840,4739.500218,4215.386704,18954.702907,7078.571990,5777.157128,151509.771556,26945.870501,5359.589661,83105.980684,120791.452797,48862.413774,27807.179453
,,,,,,,38,12142.087199,4666.252077,16145.616862,4537.082995,21759.578032,4721.772678,4233.148725,18984.359932,6977.320166,5721.214148,149274.360907,26712.360236,5362.418730,84402.593377,118972.374728,49161.464317,27833.026369
,,,,,,,39,12120.134241,4641.312413,15892.045805,4447.573034,21922.932219,4717.392446,4233.066763,18997.369012,7111.327518,5667.014551,146826.341340,26673.016251,5441.177900,84248.640256,116787.792162,48964.717648,27865.082413
,,,,,,,40,12104.724680,4619.635354,15631.605962,4382.274723,22327.653707,4712.279379,4194.675653,19075.829952,7495.887879,5643.637750,146477.641814,27745.044314,5575.303571,84060.179360,117816.527325,48132.837121,28594.303767
,,,,,,,41,12116.448612,4634.562579,15853.320875,4466.172269,22476.384282,4671.778477,4151.879759,19125.178819,7394.648402,5815.116534,150522.906253,27815.196114,5575.067206,83785.192454,122966.003352,47429.202192,30174.977589
,,,,,,,42,12152.855363,4696.790632,16582.274949,4693.677832,22210.182175,4587.012147,4091.470190,19183.899891,7063.792677,6271.640877,156341.370612,27595.294853,5484.395271,84361.987401,126681.466359,47445.352094,30168.617274
,,,,,,,43,12201.545337,4782.310098,17543.691261,4988.844587,21691.559402,4474.741133,4023.575415,19268.810978,6757.350812,6442.513041,160663.352633,27493.007054,5307.012097,90065.964929,126762.481703,48347.314337,29812.114693
,,,,,,,44,12226.409082,4834.559755,18403.961848,5216.147856,21076.424502,4368.667873,3952.984328,19244.468292,6517.101096,6272.034761,160785.400396,26857.028189,5100.170090,96191.700805,123628.285922,50840.276777,29337.945161
,,,,,,,45,12237.109315,4867.216985,19232.559776,5410.966329,20348.079530,4262.461589,3872.808184,19506.116461,6254.645189,5971.141688,160566.830249,25345.037453,4826.306385,97784.704144,122117.524094,52932.742469,28755.653434
,,,,,,,46,12337.353507,5067.651718,21519.349494,6060.056886,19290.400602,4114.425317,3769.580599,19431.727512,5969.369638,5652.299197,168598.469467,24031.050339,4591.635347,96155.055148,124361.018979,53573.201038,27654.936174
,,,,,,,47,12292.022788,4982.574046,21509.925119,5904.117866,18117.998834,3980.456395,3657.804293,19359.542303,5993.645270,5249.709800,162549.195663,22459.112555,4310.805041,92873.321611,126788.636706,53311.489855,26903.778648
,,,,,,,48,12269.465340,4945.417381,21460.267628,5797.282554,17265.005298,3887.139633,3567.778703,19273.703654,5856.367127,4905.486938,159357.010899,22421.849257,4113.248614,87868.615425,126430.457627,52631.663312,26043.970063
,,,,,,,49,12204.955478,4666.184068,19492.385333,5732.623527,16759.580572,3811.692925,3882.874713,18911.357773,5806.024344,4561.844981,159977.936383,21863.398991,4092.669536,83559.978815,128083.082897,49199.368315,25941.528643
,,,,,,,50,12188.509787,4645.728213,19289.322768,5677.614008,16576.638122,3776.868991,3843.119117,18907.009557,5826.284397,4449.538492,159035.948125,21511.483068,4046.565927,78369.555990,125974.165346,47270.984863,25462.317318
,,,,,,,51,12155.442537,4595.030602,18932.944524,5573.651212,16534.835887,3772.095395,3835.039303,18928.277159,5934.151497,4411.222503,158039.728029,21537.525585,4007.929000,75723.167515,122438.104683,44994.955731,25026.910977
,,,,,,,52,12091.423859,4486.401446,18077.204314,5302.280586,16701.398212,3797.726917,3869.265171,19024.251481,6289.637190,4443.037875,154874.923534,21616.073901,4082.295843,71626.241917,118169.805536,42575.695002,24453.532709
,,,,,,,53,12081.040400,4475.549680,17822.846871,5242.631829,17397.873424,3923.747814,3975.172048,19011.321985,7197.404690,4555.412757,159653.548621,22276.923560,4365.457603,65990.691414,115939.513483,40702.210456,23778.356035
,,,,,,,54,11944.522084,4244.769416,15899.163848,4582.617482,18900.027971,4160.788590,4174.028119,18875.066344,8145.540408,4862.108227,154836.608716,24596.105979,4822.883137,62264.768400,120455.445324,39226.910407,23958.795482
,,,,,,,55,11966.498900,4294.481369,16442.493306,4741.974549,20471.625835,4370.140076,4375.722371,18563.580840,8407.527167,5537.225438,161622.238358,26097.032609,5226.410960,58101.870149,124076.574975,38220.854018,25249.507299
,,,,,,,56,11974.838690,4325.788682,16933.701165,4869.043066,21143.806858,4433.943873,4439.804412,18330.031999,8354.469039,6152.899244,163968.055629,26996.941952,5468.092659,56873.767682,125625.162321,39059.178251,26527.373953
,,,,,,,57,11969.303363,4337.681833,17347.913758,4984.156425,21433.375589,4465.220650,4460.613967,18272.076483,8412.510423,6253.263975,164040.782552,27676.774437,5568.751907,60998.534896,126655.908707,41903.323184,27293.714156
,,,,,,,58,11965.216200,4335.081796,17594.848857,5048.099470,21767.273865,4512.964242,4485.310246,18315.139140,8341.161725,6227.414864,163580.777773,27860.350395,5566.104846,67329.451979,125839.999893,44714.267267,27611.352145
,,,,,,,59,11943.320387,4296.697510,17418.483972,4967.772000,21935.292241,4530.154705,4502.078799,18390.148727,8139.610828,6212.984576,161772.055106,28137.670959,5522.781032,72895.916912,125137.244289,47087.563943,28034.992367
,,,,,,,60,11926.166223,4266.318054,17261.210331,4909.840304,21872.720158,4527.325687,4488.151102,18450.875514,8130.303802,6145.231927,160067.634967,28368.265452,5491.449194,78770.917057,124987.504389,48690.592898,28146.442404
,,,,,,,61,11914.416899,4239.440985,17118.502470,4859.704454,21705.124015,4526.008586,4491.579527,18314.529951,8020.157482,6087.844405,158327.520546,28610.392923,5509.224579,80300.935781,121052.509779,48878.620487,27980.362760
,,,,,,,62,11899.830162,4217.270410,16947.764266,4795.162271,21585.683783,4519.863191,4510.280165,18303.763818,7881.449740,6055.478699,156308.413188,28318.630504,5501.777783,81456.105068,118934.709790,48990.302956,27995.308539
,,,,,,,63,11870.719683,4170.133038,16601.026369,4656.562404,21584.297093,4527.360544,4506.421494,18303.864840,8089.810339,6005.065039,153809.588446,28178.355460,5568.610286,81322.306289,116704.669541,48709.138740,28011.800902
,,,,,,,64,11848.741607,4128.501495,16310.291353,4559.561712,21692.500885,4533.627898,4468.933750,18423.638586,8647.327005,5968.914812,153584.603210,29228.048277,5697.389045,81285.197526,117665.867574,47987.008909,28748.718692
,,,,,,,65,11855.748101,4137.962788,16368.237298,4587.405256,21537.033074,4503.709858,4423.808600,18509.488055,8460.982945,6175.123069,157964.937999,29299.431892,5681.827321,81196.215050,123280.310763,47441.317224,30404.424740
,,,,,,,66,11895.294396,4202.353211,16810.373946,4745.774885,21001.036980,4430.435074,4361.395815,18442.004737,8067.930830,6583.077904,164470.586523,29078.936208,5567.522169,81977.709164,127123.055284,47588.631898,30368.945837
,,,,,,,67,11943.602045,4290.427432,17485.097573,4970.772449,20333.025927,4331.631528,4294.070910,18381.254960,7644.294124,6562.710730,169273.683847,29077.620093,5371.320031,88032.156895,125193.542229,48588.997187,29999.285287
,,,,,,,68,11972.689194,4345.675999,18007.012290,5138.790226,19751.874437,4239.026344,4224.960360,18416.360654,7241.623861,6320.452023,169596.417740,28469.877166,5160.912701,94184.123469,122617.826559,50957.137900,29553.171452
,,,,,,,69,11997.088628,4389.305643,18423.082946,5277.675499,19222.309022,4145.984372,4146.858212,18517.317295,6758.702533,5975.193734,169554.560174,27035.659693,4904.599364,95531.677233,121835.686456,52808.968916,29035.760014
,,,,,,,70,12107.268909,4599.343213,20185.885062,5902.093964,18488.066605,4017.433531,4050.015564,18437.092986,6307.890524,5609.812758,177763.801547,25829.805579,4684.795167,93881.196586,124331.146787,53004.503541,27957.263023
,,,,,,,71,12078.705631,4530.207961,19733.045068,5764.459510,17592.285921,3903.050147,3953.185946,18485.212184,6014.961446,5179.835748,171870.792143,24437.884878,4412.665631,91041.906136,126749.672977,52415.037368,27214.553899
,,,,,,,72,12061.460660,4496.469623,19415.310685,5672.191571,16903.960653,3824.777049,3879.915143,18504.767784,5894.269228,4824.130402,168713.247270,23054.918213,4217.240447,86748.515895,119014.361273,51827.808902,26337.572568
,,,,,,,73,12006.427661,4443.342509,19396.695286,5621.333602,17649.177473,3591.576194,3577.961270,17856.248227,5854.025897,4514.103190,166370.757120,22472.620328,3853.349767,77281.374574,120351.380341,49844.469497,26111.569653
,,,,,,,74,11994.791269,4419.540252,19189.125381,5562.180138,17470.257827,3549.711569,3536.757970,17792.038154,5881.453147,4396.741193,165295.379659,22126.771597,3809.402698,71048.047349,118229.474881,47878.033676,25658.493782
,,,,,,,75,11971.718665,4375.184515,18808.863865,5450.614067,17450.828207,3541.375967,3526.599978,17738.126412,5998.015027,4359.721866,164133.113325,22153.650594,3785.794957,68146.316411,114372.612852,45529.795156,25240.724540
,,,,,,,76,11917.084632,4261.209682,17839.483320,5153.914917,17628.472680,3561.023941,3554.821044,17748.662465,6374.759393,4399.165117,160475.654073,22211.749145,3875.897174,63629.749318,110093.923378,43033.914097,24698.890309
,,,,,,,77,11917.113497,4232.036207,17245.369836,5053.864563,18281.163100,3656.423166,3642.863218,17862.075484,7324.929584,4529.488218,165114.949818,22851.196570,4168.900711,57446.373962,106898.629645,40986.275194,24082.949666
,,,,,,,78,11793.908780,3983.580647,14922.430815,4376.775067,19774.544739,3868.500867,3817.706970,17864.232447,8289.196065,4863.887587,159695.833205,25126.517464,4585.459063,53246.286842,106998.672238,39183.538766,24303.126554
,,,,,,,79,11817.316156,4036.944802,15249.317233,4545.371577,21402.793228,4108.336019,4026.794521,17654.119634,8513.304977,5574.348184,165801.204553,26605.096365,4943.847508,48661.992880,106740.313307,37825.158354,25534.776310
,,,,,,,80,11827.909905,4077.124006,15702.533369,4687.239896,22105.836565,4212.511054,4112.393173,17466.588036,8422.506438,6206.563246,167900.145583,27495.699640,5149.976278,47642.427793,109433.135485,38447.487299,26734.361299
,,,,,,,81,11828.990484,4105.356547,16126.289730,4805.997828,22413.084629,4272.097995,4151.802486,17433.518243,8471.667708,6318.739910,167504.631016,28160.547439,5224.007384,52652.288010,113426.424039,41262.306280,27437.141287
,,,,,,,82,11825.248983,4117.637445,16399.859475,4877.636769,22753.204191,4348.509951,4192.787268,17493.208602,8401.271365,6285.477244,166745.405270,28314.069701,5214.670915,59822.387062,115130.169677,44196.939036,27715.976124
,,,,,,,83,11808.760595,4089.087578,16277.693576,4800.361880,22890.101485,4376.199826,4225.531320,17580.961662,8204.116628,6249.633934,164489.991235,28564.987447,5166.247633,66857.229970,115879.462361,46718.962310,28111.051699
,,,,,,,84,11797.757624,4069.406113,16166.637713,4736.277835,22804.297836,4377.630677,4215.933420,17638.501559,8217.025446,6156.164814,162418.607789,28768.930901,5160.148656,74604.583127,117361.003901,48403.448475,28228.748496
,,,,,,,85,11788.835595,4052.619785,16070.532759,4689.426994,22630.267725,4385.729045,4228.880706,17505.850818,8111.956751,6075.888305,160246.652974,28985.222059,5166.754892,77462.051116,112784.406559,48674.384033,28067.462100
,,,,,,,86,11780.358146,4040.310661,15930.138278,4622.377036,22539.630946,4392.541322,4258.707334,17533.834255,7960.411036,6022.895850,157991.449819,28671.833452,5151.133954,79408.554071,109463.926146,48925.611078,28091.310284
,,,,,,,87,11759.021823,4005.978440,15616.250630,4492.803189,22592.602145,4420.391478,4270.570825,17556.627233,8148.911351,5947.199112,155177.236720,28519.733420,5187.578866,79830.779104,106657.222712,48658.472491,28120.673174
,,,,,,,88,11740.570859,3978.255228,15322.132998,4393.695140,22810.470763,4446.389565,4240.466938,17649.483610,8677.043101,5869.911992,155034.395795,29508.691724,5290.681826,79874.357081,106882.006274,47864.451266,28848.181136
,,,,,,,89,11751.826882,3996.070038,15367.163463,4436.338485,22788.009403,4424.025923,4197.557151,17705.243922,8476.944013,6010.532150,159360.080122,29507.478225,5326.105994,79792.146548,111967.841544,47239.862786,30445.616037
,,,,,,,90,11799.010128,4070.047491,15872.700019,4627.239494,22386.832895,4345.322258,4133.572471,17705.941608,8108.082069,6457.879354,165626.553748,29258.280279,5284.145140,80867.534641,115243.014418,47193.082126,30449.853596
,,,,,,,91,11852.847093,4165.956857,16628.464480,4885.887984,21807.022200,4237.179808,4062.506155,17725.379110,7697.673216,6569.072300,170257.985468,29222.537330,5132.782924,88131.422641,114894.129956,47919.775717,30119.370470
,,,,,,,92,11886.977141,4231.017397,17295.349025,5077.798865,21233.780895,4134.436631,3992.309158,17728.241359,7293.672366,6396.554027,170470.866725,28572.158275,4908.970357,94900.287977,113669.156879,50069.425573,29681.034729
,,,,,,,93,11915.380630,4282.812723,17920.156113,5247.753672,20654.423122,4031.916551,3915.379602,17940.614355,6801.124759,6062.120966,170474.761660,27113.458490,4593.148004,95005.479877,112563.617828,52159.073964,29140.263651
,,,,,,,94,12027.906732,4503.094053,19915.654972,5885.781622,19829.245737,3892.572166,3817.676635,17849.211028,6349.684892,5673.879174,178922.301233,25892.047705,4360.159961,91826.467959,115450.014237,52896.035903,28067.377304
,,,,,,,95,12003.717276,4442.657518,19636.311063,5748.286976,18854.686801,3760.549142,3714.167035,17798.405176,5961.332019,5189.339659,173199.190532,24481.392259,4115.145313,87840.464508,118959.524828,52658.081431,27337.941539
,,,,,,,96,11990.664317,4411.266187,19431.410375,5654.488153,18122.053056,3661.693861,3632.867309,17734.278560,5802.717855,4792.691673,170048.472411,22089.996144,3950.169968,82244.006526,117887.010724,52207.238638,26490.809532
,,,,,,,97,11987.346343,4358.940798,19094.892059,5327.070949,18405.748732,3478.906205,3544.250095,17656.874501,5740.082614,4291.282180,164707.491232,21611.652336,3390.550130,80386.278633,119387.677453,51196.592260,25693.095254
,,,,,,,98,11977.590265,4338.803111,18899.583806,5264.365534,18210.246042,3427.371503,3499.640425,17576.201798,5745.925985,4199.441618,163399.091379,21332.609688,3345.872639,73791.945268,116998.221056,48945.044107,25246.686231
,,,,,,,99,11958.980589,4297.593573,18543.022213,5152.114849,18161.526893,3411.059784,3487.892630,17501.923206,5839.555953,4174.486196,162225.826537,21324.576868,3317.605005,70876.380179,112490.664758,46266.711108,24835.439623
,,,,,,,100,11906.016310,4186.957119,17683.071850,4847.859611,18333.494479,3421.008228,3516.218639,17481.688239,6159.309766,4215.694516,158764.878069,21566.320234,3390.983611,66589.150162,107226.192949,43477.459649,24300.577925
,,,,,,,101,11907.247022,4155.670752,17336.932679,4707.194234,19063.786249,3486.543613,3605.828676,17635.596442,7039.402789,4337.140421,163247.691350,22248.898263,3666.365027,60669.116549,102812.633300,41078.595383,23748.604547
,,,,,,,102,11784.998677,3905.849962,15282.559461,3987.649302,20619.472576,3683.945860,3786.606230,17675.077910,8010.679697,4651.322367,157615.123197,24564.729901,4070.922925,56747.691187,101412.572341,38810.423938,24098.539542
,,,,,,,103,11810.146760,3967.416907,15718.545381,4146.181947,22232.912269,3967.082514,4011.117681,17497.937409,8308.461658,5331.270588,163803.078575,26009.760862,4434.569599,52773.967856,99741.128850,36942.050854,25442.196077
,,,,,,,104,11822.485364,4016.519773,16184.931902,4299.890107,22936.504388,4116.426254,4107.863924,17318.484697,8270.633421,5947.126389,165649.315219,26805.007099,4662.122450,53216.601942,101126.068536,37327.295749,26663.122950
,,,,,,,105,11821.809567,4056.807512,16606.244979,4437.053311,23254.883709,4202.332435,4153.535285,17291.257169,8318.256840,6036.398627,165258.640957,27362.764339,4751.986091,60223.716023,104325.795817,40280.126762,27345.879656
,,,,,,,106,11819.927824,4083.033848,16880.685810,4524.084045,23612.786619,4300.321782,4198.933403,17355.379815,8189.830714,5971.776699,164273.101252,27510.341231,4749.364554,68440.802814,106281.506901,43419.548297,27628.532025
,,,,,,,107,11803.371325,4060.505395,16705.778439,4457.742875,23794.413980,4331.667515,4235.673005,17447.787457,7903.574890,5911.843829,161729.794817,27764.894228,4698.177865,74481.134235,107065.866940,46178.185307,28015.968619
,,,,,,,108,11791.512524,4047.669516,16576.563468,4400.530306,23743.399770,4331.033162,4227.488422,17504.772870,7756.854474,5809.462311,159181.154230,27970.709011,4696.980439,80475.487163,109447.470612,48084.854051,28147.101579
,,,,,,,109,11784.358746,4036.981111,16459.008888,4363.151338,23584.052934,4340.518171,4244.773956,17375.372015,7532.785708,5731.417879,156708.990609,28165.492205,4698.365103,82057.387325,104855.287778,48456.767922,27998.976012
,,,,,,,110,11773.633617,4029.222577,16310.388352,4309.265012,23468.399165,4352.981953,4280.679483,17424.560558,7363.113928,5684.720667,154252.100610,27889.621487,4680.804457,83219.746558,101565.978348,48778.950181,28025.299528
,,,,,,,111,11751.488255,4006.427181,15976.036849,4203.631458,23476.088097,4390.707673,4297.988269,17470.521422,7528.714485,5614.244642,151247.540627,27809.129316,4717.550450,83000.956733,99595.696289,48647.959356,28032.611696
,,,,,,,112,11734.227617,3985.462968,15668.748832,4123.559775,23593.228745,4428.121039,4269.272380,17572.147135,8058.078539,5533.685479,151125.483637,28756.158992,4814.383762,82883.800727,100654.303645,47719.874419,28704.578599
,,,,,,,113,11744.536304,4004.128981,15689.943729,4178.867381,23425.396958,4408.161172,4225.172921,17628.501159,7957.823840,5644.007664,155599.180792,28662.831070,4849.075373,82804.572466,106555.779635,46916.932815,30191.625289
,,,,,,,114,11788.304939,4073.049840,16149.344966,4343.348504,22858.344708,4319.813790,4157.828447,17643.809233,7525.038915,6031.330780,162031.709941,28379.981850,4824.134179,84040.678968,111501.197676,46723.670810,30063.761549
,,,,,,,115,11842.118509,4167.199538,16867.165407,4577.225949,22157.083323,4199.304761,4081.803489,17674.457446,7097.879492,6137.422856,166500.944300,28322.203621,4703.270591,91053.329291,112874.510021,47460.413767,29603.340290
,,,,,,,116,11874.253341,4229.397232,17459.696466,4752.207822,21551.001306,4083.167520,4005.155142,17644.473222,6754.763985,5997.172708,166859.309513,27643.105484,4494.357213,97504.078247,113188.604225,49971.215497,29144.820981
,,,,,,,117,11901.700458,4278.075685,17973.716748,4900.756541,20995.551075,3972.161425,3920.181044,17891.581706,6376.967853,5695.659667,166575.971311,26105.558124,4174.703290,97924.109028,112427.244778,52664.819164,28665.321130
,,,,,,,118,12014.460514,4491.676818,19843.545937,5531.407302,20218.350310,3825.956056,3812.284914,17795.161459,5989.254321,5339.261388,174734.848708,24759.151713,3925.797340,94994.074830,115043.492668,53945.632487,27637.964074
,,,,,,,119,11990.147120,4428.846332,19457.464615,5390.673080,19273.926449,3675.445690,3696.217630,17706.252516,5424.459109,4897.305050,168875.487767,23122.984969,3664.170684,91000.373668,118180.250255,54036.886476,26931.388568
