Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Total
AnnualSum,655273.0451725059,686238.1660204751,385627.4713094294,46139.14244148824,26908.248122567908,92395.13615991377,280657.3228580989,34601.790831353544,89479.22838121727,349839.977505919,97768.08016309487,0.0,94874.77955769838,57554.72864216538,232694.71464628438,72044.20712999818,46337.28202359349,126368.39550881539,293325.2231685005,229588.31154828524,50477.67816428208,588726.8567628532,48779.50425017357,75791.74831633881,121538.70702573651,96938.19903940802,176562.5824823442,180602.3211824414,612189.0359091979,795919.78635307,409579.50808447,114930.03383602155,87666.59194109649,576673.985281365,7.834091789820204e6
t1,0.0,73.36921464278595,73.27822638789262,0.0,5.625,20.0,47.25,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,13.557385115560656,20.0,28.0,28.0,0.0,100.0,52.0,14.0,14.0,28.57025458095136,884.7328307271906
t2,0.0,119.70885468269282,71.66135959359387,0.0,5.625,20.0,0.0,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,13.870602416852241,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,34.1374854468529,968.0860521399918
t3,0.0,96.47502418417635,74.99805741338687,0.0,5.625,20.0,0.0,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,14.65619641137348,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,4.6841186323544175,919.5211466412911
t4,0.0,93.2021363394521,71.40406446677332,0.0,5.625,20.0,0.0,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,15.293566211518915,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,49.78439234918063,958.3919093669249
t5,0.0,64.65352992809244,67.69993757125857,0.0,5.625,20.0,0.0,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,15.816022495366918,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,24.7599187552293,901.6371587499473
t6,0.0,57.414170649751085,64.671576893671,0.0,5.625,20.0,8.361117872027139,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,17.128289903519935,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,100.0,976.2829053189691
t7,0.0,53.59740368698146,64.28989662859658,0.0,5.625,20.0,0.0,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,18.85248242437394,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,60.24021695040898,925.687749690361
t8,0.0,48.25442435435573,72.88064866859342,0.0,5.625,20.0,0.0,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,6.021346710613692,10.0,19.3908,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,52.184920219965974,920.3208899535288
t9,0.0,89.59795440717693,87.26714320060594,0.0,5.625,20.0,0.0,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,15.618239269860863,50.0,28.0,6.779999999999999,90.0,3.8913710485977973,10.0,19.3908,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,48.306834387284525,965.961092313526
