Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Total
AnnualSum,-2.3466668578819606e7,1.431389285929755e7,2.1266185668882052e6,1.2718363915941194e6,846513.0923039503,-2.9041780204236126e6,-2.1753100187459756e6,-444887.41710917436,-2.9943004526881087e6,-6.258998749987836e6,-36782.69691530435,0.0,-3.342901266359643e6,-82508.45015206785,-286677.2007207407,376251.5435660978,-1.419345803685953e6,-329679.6999674158,-8.482948787002102e6,-1.1152983367201292e6,-2.23751278560526e6,4.448886994217339e6,-1.8302012893491425e6,1.5829480681767059e6,-3.464585909800618e6,-704272.5069151256,1.8953178384276421e6,4.1791211454339838e6,2.3011881524796553e7,2.4662666356382698e7,1.2501092854590923e7,2.777864621503448e6,1.9479211423897133e6,2.1559933336977493e7,5.592568836557861e7
t1,0.0,3260.85398412382,3256.8100616841166,0.0,250.0,-1000.0,-2100.0,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,985.0,2500.0,1400.0,600.0,-4500.0,-630.0,-500.0,1199.7685942974033,-1000.0,-1400.0,-1400.0,0.0,5000.0,-2600.0,700.0,700.0,-1428.512729047568,3938.919911057771
t2,0.0,5320.393541453014,3184.949315270839,0.0,250.0,-1000.0,0.0,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,985.0,2500.0,1400.0,600.0,-4500.0,-630.0,-500.0,1227.4869395444462,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,-1706.874272342645,3775.9555239256542
t3,0.0,4287.77885263006,3333.2469961505276,0.0,250.0,-1000.0,0.0,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,985.0,2500.0,1400.0,600.0,-4500.0,-630.0,-500.0,1297.0085319799541,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,-234.20593161772086,4433.828449142821
t4,0.0,4142.317170642315,3173.5139763010366,0.0,250.0,-1000.0,0.0,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,985.0,2500.0,1400.0,600.0,-4500.0,-630.0,-500.0,1353.4129390724704,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,-2489.2196174590313,1930.0244685567905
t5,0.0,2873.4902190263306,3008.886114278159,0.0,250.0,-1000.0,0.0,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,985.0,2500.0,1400.0,600.0,-4500.0,-630.0,-500.0,1399.6480084395503,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,-1237.995937761465,1794.0284039825747
t6,0.0,2551.740917766715,2874.292306385378,0.0,250.0,-1000.0,-371.60523875676176,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,985.0,2500.0,1400.0,600.0,-4500.0,-630.0,-500.0,1515.777867568136,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,-5000.0,-2679.794147036532
t7,0.0,2382.1068305325093,2857.328739048737,0.0,250.0,-1000.0,0.0,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,985.0,2500.0,1400.0,600.0,-4500.0,-630.0,-500.0,1668.361276493269,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,-3012.010847520449,-354.2140014459328
t8,0.0,2144.6410824158097,3239.139940826374,0.0,250.0,-1000.0,0.0,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,985.0,2500.0,1400.0,600.0,-4500.0,-532.8625407622736,-500.0,1716.0,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,-2609.2460109982985,337.67247148161096
t9,0.0,3982.1313069856415,3878.539697804709,0.0,250.0,-1000.0,0.0,0.0,0.0,-3000.0,-1200.0,0.0,1300.0,715.0,1680.0,600.0,550.0,780.9119634930431,2500.0,1400.0,600.0,-4500.0,-344.3691193449378,-500.0,1716.0,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,-2415.3417193642263,2992.87212957423
