Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17
5000,1,1,1,1,8760,8760,1,11953.945514282113,4133.969722141081,16278.523078716791,4374.353357351184,15419.915442006699,3708.0291221697407,3816.559904624145,17762.637274366072,5324.399229575793,4028.6732179670057,129466.67361136462,14511.617681846372,3328.76090442687,78168.01821634412,111657.06021327741,48001.35861790812,24735.298360795117
,,,,,,,2,11949.380308,4122.053013,16155.326999,4337.620468,15245.508668,3665.185393,3784.832077,17656.035686,5296.729412,3876.272347,128323.080238,14290.225872,3280.616812,74497.303496,109075.886152,46525.483199,24385.571646
,,,,,,,3,11939.469373,4100.621267,15955.146701,4273.726195,15140.096863,3641.421812,3770.343074,17490.454895,5299.341309,3797.210847,127205.918352,14332.703510,3235.791156,71255.278270,104425.705449,44550.813851,24015.418823
,,,,,,,4,11916.135113,4045.460098,15451.245903,4105.925818,15120.990206,3618.588420,3773.081707,17212.959339,5338.242339,3774.363808,124390.650529,14621.205262,3235.645071,66705.230081,99026.287301,42218.878520,23500.343058
,,,,,,,5,11944.792385,4064.532243,15265.694693,4063.930979,15207.757626,3538.531945,3785.301908,17092.108680,5426.613294,3787.959667,127436.634296,15750.827388,3300.188156,61461.725778,94382.122533,40593.263951,22839.188185
,,,,,,,6,11900.080395,3951.850539,14161.018434,3689.224680,15550.251697,3501.267841,3819.231801,17026.992075,5671.805053,3860.632351,124794.504095,18873.481431,3428.232096,58016.550856,92706.660502,39739.561021,22796.800911
,,,,,,,7,11915.595622,3979.950175,14395.202399,3753.382682,16108.728957,3630.684904,3897.091459,16873.603503,6014.537956,4048.900866,129057.279669,20742.505480,3587.685573,53870.056059,90310.969061,38943.744892,23530.817472
,,,,,,,8,11914.840490,3995.686569,14691.888793,3833.957821,16660.460578,3755.388076,3949.036599,16766.331706,6248.912452,4318.002682,131085.331758,21880.797649,3756.002475,52409.248642,90807.452595,39238.109093,24410.214258
,,,,,,,9,11905.665956,4001.739286,14924.965222,3889.485364,17271.975893,3852.957423,4003.034572,16804.039247,6328.687902,4590.690103,130862.698569,22580.914020,3889.768696,53976.622970,93885.309445,41153.225805,24948.546985
,,,,,,,10,11887.749433,3983.895793,14952.208685,3878.282810,18003.613257,3978.778020,4077.048638,16909.143367,6330.188394,4800.078749,129749.486360,22739.010838,3959.713090,57631.923962,97171.421317,42830.112349,25132.164183
,,,,,,,11,11877.945110,3963.689147,14867.894037,3840.865579,18525.161738,4036.992765,4151.987196,17036.734468,6279.564102,4912.130308,128872.312533,22938.527267,3983.889890,63081.584606,99842.523240,44489.636298,25466.249188
,,,,,,,12,11871.155499,3950.893837,14795.077693,3802.436657,18726.426118,4053.576334,4171.854451,17130.289709,6224.937596,4921.829664,127602.500027,23078.554416,4003.743204,69106.243822,102981.143351,45969.102284,25600.310581
,,,,,,,13,11864.574114,3941.248518,14727.210591,3774.821488,18786.908532,4077.759534,4208.741884,17036.751787,6247.194105,4886.286554,126202.572574,23308.488498,4010.171486,71336.915096,99101.787160,45958.289038,25421.286267
,,,,,,,14,11863.281214,3936.711429,14675.376723,3750.619004,18862.429560,4112.104956,4254.320517,17142.533867,6331.529076,4842.426876,125090.438134,23058.926931,4010.564466,72840.362273,96330.275698,45619.094812,25444.995762
,,,,,,,15,11860.221081,3934.330425,14665.602092,3730.688428,19053.157649,4174.567262,4296.405279,17243.879878,6650.165548,4802.550204,124755.025611,23064.250771,4075.946223,72711.384839,94533.649921,45848.181224,25486.189801
,,,,,,,16,11866.015911,3947.642990,14782.828507,3756.160291,19309.101414,4233.990552,4285.684998,17384.027213,7161.311687,4800.338029,126327.579509,24223.167512,4217.391784,72825.201129,95274.925648,45706.193177,26112.374459
,,,,,,,17,11876.657477,3963.907894,14941.137949,3808.850795,19174.368484,4233.623784,4242.374481,17442.138146,7103.245953,4962.314359,130671.550856,24214.341873,4278.980233,72758.552623,100494.529031,45433.346991,27392.262125
,,,,,,,18,11904.625593,4009.646204,15258.497803,3928.690361,18568.134142,4162.655894,4162.914640,17442.971314,6785.377415,5320.608086,135571.011639,23919.691797,4260.577123,73470.108689,104660.729007,46406.158251,27579.808346
