Resource,Zone,New_Build,THERM,Cap_Size,VRE,Num_VRE_Bins,MUST_RUN,STOR,FLEX,HYDRO,LDS,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Up_Time,Down_Time,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Reg_Cost,Rsv_Cost,Reg_Max,Rsv_Max,CapRes_1,region,cluster,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,Retro3_Efficiency,Retro3_Inv_Cost_per_MWyr
biogas_OC_SE2,2,-1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,723.752792,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,50628.696405,0.000000,0.000000,8400.000000,0.000000,0.000000,10.000000,0.000000,9.000000,biogas,0,0,1,1,1,1,0,1,1,0,0,1,0,0,103,0.22,0,0,1,1,1,None,1,0.05,17,25,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
biogas_OC_SE3,3,-1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,4074.460164,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,50628.696405,0.000000,0.000000,8400.000000,0.000000,0.000000,10.000000,0.000000,9.000000,biogas,0,0,1,1,1,1,0,1,1,0,0,1,0,0,103,0.22,0,0,1,1,1,None,1,0.05,17,25,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
biogas_OC_SE4,4,-1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,1049.888310,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,50628.696405,0.000000,0.000000,8400.000000,0.000000,0.000000,10.000000,0.000000,9.000000,biogas,0,0,1,1,1,1,0,1,1,0,0,1,0,0,103,0.22,0,0,1,1,1,None,1,0.05,17,25,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
biomass_SE1,1,1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,257271.248589,0.000000,0.000000,52400.000000,0.000000,0.000000,2.200000,0.000000,8.980000,biomass,0,0.25,0.5,0.5,1,1,0,1,1,0,0,1,14,6,105,14,0,0,1,1,1,None,1,0.05,25,40,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
biomass_SE2,2,1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,257271.248589,0.000000,0.000000,52400.000000,0.000000,0.000000,2.200000,0.000000,8.980000,biomass,0,0.25,0.5,0.5,1,1,0,1,1,0,0,1,14,6,105,14,0,0,1,1,1,None,1,0.05,25,40,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
biomass_SE3,3,1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,257271.248589,0.000000,0.000000,52400.000000,0.000000,0.000000,2.200000,0.000000,8.980000,biomass,0,0.25,0.5,0.5,1,1,0,1,1,0,0,1,14,6,105,14,0,0,1,1,1,None,1,0.05,25,40,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
biomass_SE4,4,1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,257271.248589,0.000000,0.000000,52400.000000,0.000000,0.000000,2.200000,0.000000,8.980000,biomass,0,0.25,0.5,0.5,1,1,0,1,1,0,0,1,14,6,105,14,0,0,1,1,1,None,1,0.05,25,40,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_offshore_existing_SE1,1,-1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_offshore_existing_SE2,2,-1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_offshore_existing_SE3,3,-1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_offshore_existing_SE4,4,-1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_offshore_SE1,1,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,5100.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,197560.206110,0.000000,0.000000,60000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,20,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_offshore_SE2,2,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,197560.206110,0.000000,0.000000,60000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,20,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_offshore_SE3,3,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,197560.206110,0.000000,0.000000,60000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,20,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_offshore_SE4,4,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,197560.206110,0.000000,0.000000,60000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,20,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_onshore_existing_SE1,1,0,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,76281.357065,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,30,20,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_onshore_existing_SE2,2,0,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,76281.357065,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,30,20,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_onshore_existing_SE3,3,0,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,76281.357065,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,30,20,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_onshore_existing_SE4,4,0,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,76281.357065,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,30,20,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_onshore_SE1,1,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,8160.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,78569.797776,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,30,20,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_onshore_SE2,2,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,11400.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,78569.797776,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,30,20,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_onshore_SE3,3,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,10320.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,78569.797776,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,30,20,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
wind_onshore_SE4,4,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,3600.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,78569.797776,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,30,20,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
solar_existing_SE1,1,0,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,40363.890951,0.000000,0.000000,10222.222222,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,23.33333333333333,35,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
solar_existing_SE2,2,0,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,40363.890951,0.000000,0.000000,10222.222222,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,23.33333333333333,35,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
solar_existing_SE3,3,0,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,40363.890951,0.000000,0.000000,10222.222222,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,23.33333333333333,35,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
solar_existing_SE4,4,0,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,40363.890951,0.000000,0.000000,10222.222222,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,23.33333333333333,35,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
solar_SE1,1,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,40964.875241,0.000000,0.000000,10222.222222,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,23.33333333333333,35,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
solar_SE2,2,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,40964.875241,0.000000,0.000000,10222.222222,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,23.33333333333333,35,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
solar_SE3,3,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,40964.875241,0.000000,0.000000,10222.222222,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,23.33333333333333,35,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
solar_SE4,4,1,0,0,1,1,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,40964.875241,0.000000,0.000000,10222.222222,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,23.33333333333333,35,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
battery_storage_SE1,1,1,0,0,0,0,0,1,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,22928.990645,0.000000,25480.505722,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,0.9219544457292888,0.9219544457292888,0,2,10,0,0,1,0,0,0,0,0,0,1,1,1,None,1,0.05,10,15,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
