Resource,Zone,New_Build,THERM,Cap_Size,VRE,Num_VRE_Bins,MUST_RUN,STOR,FLEX,HYDRO,LDS,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Up_Time,Down_Time,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Reg_Cost,Rsv_Cost,Reg_Max,Rsv_Max,CapRes_1,region,cluster,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,Retro3_Efficiency,Retro3_Inv_Cost_per_MWyr
hydro_SE2,2,-1,0,0,0,0,0,0,0,1,0,5733.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0.23823590128174976,1,1,1,1,2738.5313099598816,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
hydro_flex_SE1,1,-1,0,0,0,0,1,0,0,0,0,1000.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
hydro_flex_SE2,2,-1,0,0,0,0,1,0,0,0,0,1000.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
hydro_SE3,3,-1,0,0,0,0,1,0,0,0,0,2290.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
hydro_SE4,4,-1,0,0,0,0,1,0,0,0,0,240.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
gas_OC_SE1,1,-1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,69478.811556,0.000000,0.000000,10000.000000,0.000000,0.000000,5.000000,0.000000,10.236000,gas,0,0,1,1,1,1,0,1,1,0,0,1,1,1,56.49999999999999,200,0,0,1,1,1,None,1,0.05,15,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
gas_OC_SE2,2,-1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,69478.811556,0.000000,0.000000,10000.000000,0.000000,0.000000,5.000000,0.000000,10.236000,gas,0,0,1,1,1,1,0,1,1,0,0,1,1,1,56.49999999999999,200,0,0,1,1,1,None,1,0.05,15,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
gas_OC_SE3,3,-1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,69478.811556,0.000000,0.000000,10000.000000,0.000000,0.000000,5.000000,0.000000,10.236000,gas,0,0,1,1,1,1,0,1,1,0,0,1,1,1,56.49999999999999,200,0,0,1,1,1,None,1,0.05,15,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
gas_OC_SE4,4,-1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,69478.811556,0.000000,0.000000,10000.000000,0.000000,0.000000,5.000000,0.000000,10.236000,gas,0,0,1,1,1,1,0,1,1,0,0,1,1,1,56.49999999999999,200,0,0,1,1,1,None,1,0.05,15,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
biogas_OC_SE1,1,-1,2,500.000000,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,151.898734,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,50628.696405,0.000000,0.000000,8400.000000,0.000000,0.000000,10.000000,0.000000,9.000000,biogas,0,0,1,1,1,1,0,1,1,0,0,1,0,0,103,0.22,0,0,1,1,1,None,1,0.05,17,25,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
