Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17
5000,1,1,1,1,8760,8760,1,11942.349629455928,4154.2861594722635,16036.407725932746,4123.816168468001,15458.417742009895,3763.138958976295,3757.0289321070927,18087.547920524037,5299.167002299137,3691.7820322151706,118214.3360536062,14304.423133417764,3215.2603224828713,78773.02941159654,100196.70994927478,45185.75398221917,24836.249408690193
,,,,,,,2,11937.714598,4144.102316,15918.354541,4090.358716,15276.586753,3716.073928,3719.533643,17974.820695,5269.756198,3540.678988,117026.668730,14060.037119,3168.535086,75435.878911,97644.254340,43929.104171,24510.131848
,,,,,,,3,11927.692426,4124.781989,15723.940328,4027.664422,15155.253174,3690.885294,3706.886970,17800.301466,5269.680225,3461.022816,115822.340967,14074.936712,3131.421998,74192.818491,93265.188575,42157.904011,24147.099403
,,,,,,,4,11904.196860,4075.472723,15226.331341,3862.155004,15105.819458,3665.079909,3723.196439,17509.136955,5300.298413,3435.445757,113080.739598,14358.131028,3132.959666,71384.863296,88186.381662,39996.138245,23620.839414
,,,,,,,5,11934.357574,4096.110267,15029.908150,3815.237173,15106.853511,3563.469945,3772.280759,17412.123106,5369.243740,3442.006641,116032.456599,15475.058664,3219.250820,66721.812748,83559.303897,38399.463226,22906.983544
,,,,,,,6,11887.451917,3992.263527,13946.346282,3444.645522,15303.118364,3501.316014,3870.846711,17368.994731,5607.003598,3505.354096,112958.962494,18551.931441,3357.721067,63724.554199,81860.669606,37383.827253,22733.175487
,,,,,,,7,11903.373271,4027.340925,14207.772482,3514.198317,15760.332335,3638.232456,4003.234945,17227.701698,5951.240371,3684.692424,116931.899320,20399.507111,3504.586862,60043.717885,79377.125141,36428.261823,23291.741480
,,,,,,,8,11903.789421,4048.665628,14516.532147,3603.325400,16323.980976,3783.179553,4069.107957,17123.007749,6192.832464,3952.407773,118874.721545,21427.364331,3639.083228,57813.737892,79721.309872,36807.592731,24055.836785
,,,,,,,9,11895.828255,4059.864200,14768.947154,3665.287395,16988.897682,3897.775207,4121.751796,17160.014921,6276.433842,4223.012112,118771.818485,22077.983741,3745.084094,60810.141121,82482.346849,38764.402901,24538.969415
,,,,,,,10,11878.989496,4045.876721,14812.586439,3659.107349,17775.309682,4042.799971,4190.490876,17264.185889,6283.462427,4435.310437,117832.500094,22209.641269,3804.121156,66427.300335,85622.447802,40386.121673,24711.816133
