Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
None,biomass_DE,11,1,141,0.0
None,biomass_CCS_DE,11,1,142,0.0
None,gas_CC_CCS_DE,11,1,143,0.0
None,gas_CC_CCS_retrofit_DE,11,1,144,0.0
None,gas_CC_DE,11,1,145,0.0
None,gas_CC_existing_DE,11,1,146,0.0
None,gas_OC_DE,11,1,147,0.0
None,gas_OC_existing_DE,11,1,148,0.0
None,wind_offshore_fixed_existing_DE,11,1,149,0.0
None,wind_offshore_fixed_DE,11,1,150,0.0
None,wind_offshore_floating_DE,11,1,151,0.0
None,wind_onshore_existing_DE,11,1,152,0.0
None,wind_onshore_DE,11,1,153,0.0
None,solar_existing_DE,11,1,154,0.0
None,solar_DE,11,1,155,0.0
None,hydro_pumped_storage_DE,11,1,156,0.0
None,battery_storage_DE,11,1,157,0.0
None,hydrogen_OC_storage_DE,11,1,158,0.0
None,hydrogen_CC_storage_DE,11,1,159,0.0
None,nuclear_PL,12,1,160,0.0
None,must_run_PL,12,1,161,0.0
None,coal_lignite_PL,12,1,162,0.0
None,coal_hard_PL,12,1,163,0.0
None,gas_CC_CCS_PL,12,1,164,0.0
None,gas_CC_PL,12,1,165,0.0
None,gas_OC_PL,12,1,166,0.0
None,wind_offshore_existing_PL,12,1,167,0.0
None,wind_offshore_PL,12,1,168,0.0
None,wind_onshore_existing_PL,12,1,169,0.0
None,wind_onshore_PL,12,1,170,0.0
None,solar_existing_PL,12,1,171,0.0
None,solar_PL,12,1,172,0.0
None,battery_PL,12,1,173,0.0
None,nuclear_BT,13,1,174,0.0
None,nuclear_new_BT,13,1,175,0.0
None,oilshale_BT,13,1,176,0.0
None,must_run_BT,13,1,177,0.0
None,gas_BT,13,1,178,0.0
None,wind_offshore_BT,13,1,179,0.0
None,wind_offshore_new_BT,13,1,180,0.0
None,wind_onshore_BT,13,1,181,0.0
None,wind_onshore_new_BT,13,1,182,0.0
None,solar_existing_BT,13,1,183,0.0
None,solar_BT,13,1,184,0.0
None,nuclear_UK,14,1,185,0.0
None,coal_hard_UK,14,1,186,0.0
None,gas_CC_CCS_UK,14,1,187,0.0
None,gas_CC_UK,14,1,188,0.0
None,gas_OC_UK,14,1,189,0.0
None,wind_offshore_existing_UK,14,1,190,0.0
None,wind_offshore_UK,14,1,191,0.0
None,wind_onshore_existing_UK,14,1,192,0.0
None,wind_onshore_UK,14,1,193,0.0
None,solar_existing_UK,14,1,194,0.0
None,solar_UK,14,1,195,0.0
None,hydro_UK,14,1,196,0.0
None,hydro_pumped_UK,14,1,197,0.0
None,battery_UK,14,1,198,0.0
None,nuclear_FR,15,1,199,0.0
None,nuclear_existing_FR,15,1,200,0.0
None,coal_hard_FR,15,1,201,0.0
None,gas_CC_CCS_FR,15,1,202,0.0
None,gas_CC_FR,15,1,203,0.0
None,gas_OC_FR,15,1,204,0.0
None,wind_offshore_existing_FR,15,1,205,0.0
None,wind_offshore_FR,15,1,206,0.0
None,wind_onshore_existing_FR,15,1,207,0.0
None,wind_onshore_FR,15,1,208,0.0
None,solar_existing_FR,15,1,209,0.0
None,solar_FR,15,1,210,0.0
None,hydro_pumped_FR,15,1,211,0.0
None,battery_FR,15,1,212,0.0
None,coal_hard_ES,16,1,213,0.0
None,gas_CC_CCS_ES,16,1,214,0.0
None,gas_CC_ES,16,1,215,0.0
None,gas_OC_ES,16,1,216,0.0
None,hydro_ES,16,1,217,0.0
None,wind_offshore_existing_ES,16,1,218,0.0
None,wind_offshore_ES,16,1,219,0.0
None,wind_onshore_existing_ES,16,1,220,0.0
None,wind_onshore_ES,16,1,221,0.0
None,solar_existing_ES,16,1,222,0.0
None,solar_ES,16,1,223,0.0
None,hydro_pumped_ES,16,1,224,0.0
None,battery_ES,16,1,225,0.0
None,nuclear_NL,17,1,226,0.0
None,must_run_NL,17,1,227,0.0
None,coal_hard_NL,17,1,228,0.0
None,gas_CC_CCS_NL,17,1,229,0.0
None,gas_CC_NL,17,1,230,0.0
None,gas_OC_NL,17,1,231,0.0
None,wind_offshore_existing_NL,17,1,232,0.0
None,wind_offshore_NL,17,1,233,0.0
None,wind_onshore_existing_NL,17,1,234,0.0
None,wind_onshore_NL,17,1,235,0.0
None,solar_existing_NL,17,1,236,0.0
None,solar_NL,17,1,237,0.0
None,battery_NL,17,1,238,0.0
None,nse0_heating_space_load_SE1,1,1,239,0.0
None,nse1_heating_space_load_SE1,1,1,240,0.0
None,nse2_heating_space_load_SE1,1,1,241,0.0
None,nse3_heating_space_load_SE1,1,1,242,0.0
None,nse0_heating_space_load_SE2,2,1,243,0.0
None,nse1_heating_space_load_SE2,2,1,244,0.0
None,nse2_heating_space_load_SE2,2,1,245,0.0
None,nse3_heating_space_load_SE2,2,1,246,0.0
None,nse0_heating_space_load_SE3,3,1,247,0.0
None,nse1_heating_space_load_SE3,3,1,248,0.0
None,nse2_heating_space_load_SE3,3,1,249,0.0
None,nse3_heating_space_load_SE3,3,1,250,0.0
None,nse0_heating_space_load_SE4,4,1,251,0.0
None,nse1_heating_space_load_SE4,4,1,252,0.0
None,nse2_heating_space_load_SE4,4,1,253,0.0
None,nse3_heating_space_load_SE4,4,1,254,0.0
None,nse0_heating_sanitary_load_SE1,1,1,255,0.0
None,nse1_heating_sanitary_load_SE1,1,1,256,0.0
None,nse2_heating_sanitary_load_SE1,1,1,257,0.0
None,nse3_heating_sanitary_load_SE1,1,1,258,0.0
None,nse0_heating_sanitary_load_SE2,2,1,259,0.0
None,nse1_heating_sanitary_load_SE2,2,1,260,0.0
None,nse2_heating_sanitary_load_SE2,2,1,261,0.0
None,nse3_heating_sanitary_load_SE2,2,1,262,0.0
None,nse0_heating_sanitary_load_SE3,3,1,263,0.0
None,nse1_heating_sanitary_load_SE3,3,1,264,0.0
None,nse2_heating_sanitary_load_SE3,3,1,265,0.0
None,nse3_heating_sanitary_load_SE3,3,1,266,0.0
None,nse0_heating_sanitary_load_SE4,4,1,267,0.0
None,nse1_heating_sanitary_load_SE4,4,1,268,0.0
None,nse2_heating_sanitary_load_SE4,4,1,269,0.0
None,nse3_heating_sanitary_load_SE4,4,1,270,0.0
None,nse0_EV_load_SE1,1,1,271,0.0
