Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Total
AnnualSum,685697.8512811771,569221.8520240411,375233.7097690238,75206.85397617212,31057.519757318405,134904.01404252998,261892.18913793907,68323.02352684156,72512.45355894022,322982.60852790956,101048.17784329131,0.0,105334.78247244163,61703.465432877674,252409.29800487842,76754.77289375423,50479.312103776494,133323.05987342715,342021.43392692326,236614.18307966096,55642.426438026625,619594.3034787723,51199.86999922463,81057.14021923575,123992.36096600097,109786.13560988053,201965.54596659058,192022.7363861092,616140.7258715973,825626.4541375941,404030.0305767331,114909.53763847222,90891.84644344838,566889.4095638626,8.010469084528473e6
t1,0.0,166.58594178962747,68.22645874012743,0.0,0.0,5.809685872376785,0.0,0.0,0.0,0.0,4.153889877586012,0.0,14.625,8.04375,33.6,0.0,6.215,2.8594443793869444,9.178942306839811,28.0,6.779999999999999,90.0,7.119,10.0,14.578060483586594,20.0,0.0,28.0,0.0,100.0,52.0,14.0,14.0,60.17360986092453,763.9487833104556
t2,51.50896530230205,138.9782150876827,75.67669352604534,0.0,0.0,11.638303634496562,0.0,0.0,0.0,0.0,0.0,0.0,14.625,8.04375,33.6,1.9008497817838321,6.215,0.0,45.639232993717165,28.0,6.779999999999999,90.0,7.119,10.0,14.70724519344305,20.0,28.0,28.0,21.094958472947066,100.0,52.0,14.0,14.0,78.09932241874255,899.6265364111603
t3,70.70188651391244,147.5569121430238,74.93558814818863,7.968257546879977,0.0,11.563347914878383,0.0,0.0,0.0,0.0,13.5,0.0,14.625,8.04375,33.6,9.324450946111103,6.215,0.0,50.0,28.0,6.779999999999999,90.0,7.119,10.0,14.696258874338849,20.0,15.122910150169918,28.0,70.79803157217303,100.0,52.0,14.0,14.0,100.0,1018.5503938096762
t4,107.42291012158968,95.96818103875873,72.42279569118195,0.0,5.625,20.0,0.0,0.0,13.18232508661825,16.050963211834784,13.5,0.0,14.625,5.537830787633437,0.0,12.0,6.215,3.113163882114845,50.0,28.0,6.779999999999999,90.0,7.119,10.0,12.72294946699154,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,81.10674900915707,1007.3918682958803
t5,103.73456835631394,46.35486801241133,61.15200688153244,13.5,5.625,20.0,0.0,0.0,17.80105364089275,0.0,13.5,0.0,14.625,0.0,5.9639458272633785,12.0,6.215,8.914148194041577,50.0,28.0,6.779999999999999,90.0,7.119,10.0,7.811978930829823,20.0,28.0,28.0,49.761596330510976,100.0,52.0,14.0,14.0,100.0,934.8581661737962
t6,108.96896332149781,46.20004244117665,40.19385472080565,0.0,5.625,20.0,47.25,0.0,22.11758971850225,3.755418615410904,13.5,0.0,14.625,0.0,10.935612874716817,12.0,6.215,13.232821137126725,50.0,28.0,6.779999999999999,90.0,6.620169595748001,10.0,0.0,20.0,28.0,28.0,80.0,100.0,0.0,14.0,14.0,58.6841859162774,898.7036583412622
t7,137.4347908424189,0.0,34.91288759072324,13.5,5.625,20.0,26.43914560432913,0.0,20.97650481588801,0.0,13.5,0.0,14.625,0.0,9.666907312356457,12.0,6.215,15.952920264697026,50.0,28.0,6.779999999999999,90.0,0.0,10.0,0.3688308282808842,20.0,28.0,28.0,80.0,100.0,0.0,14.0,14.0,61.561498509777024,861.5584857684706
t8,137.91217308336422,0.0,33.96518523042492,0.0,5.625,20.0,17.975453484362035,0.0,17.58992805519219,0.0,8.830734331051875,0.0,14.625,0.0,7.221441904403938,12.0,6.215,19.22985697634455,50.0,28.0,6.779999999999999,90.0,0.0,10.0,2.7958827298848634,20.0,28.0,28.0,80.0,100.0,43.22862313928936,14.0,14.0,63.5441610781089,879.5384400124269
t9,138.70854739542887,0.0,0.0,0.0,5.625,20.0,47.25,0.0,14.742669363083513,0.0,1.2420046763430463,0.0,6.832552445694482,7.6854287924238465,20.340669676817438,10.464842628834424,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,1.7203907554092954,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,53.76382029036331,882.1899260243982
