Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,81.03205447610604,79.22911630482062,81.03205447610604,82.8760203175345,79.22911630482062,80.82970451299882,79.22911630482062,81.948821905754,85.93980523662563,85.93980523662563,87.67596291817361,0.0,81.02800284590712,85.27022962962963,84.23802691510826,69.068886,89.44719449227813
t2,81.03205447610604,79.22911630482062,81.03205447610604,82.8760203175345,79.22911630482062,80.8297045129988,79.22911630482062,81.948821905754,85.93980523662562,87.6759629181736,87.67596291817361,0.0,81.02800284590714,82.56994717421503,84.23802691510826,69.068886,89.44719449227813
t3,81.03205447610604,79.22911630482062,81.03205447610604,82.87602031753451,79.22911630482062,80.82970451299882,79.22911630482062,81.948821905754,84.23802691510826,85.9398052366256,87.67596291817361,0.0,81.02800284590712,82.56994717421503,84.23802691510826,69.068886,89.44719449227813
t4,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,77.46629295069606,79.22911630482062,79.22911630482062,78.34271864089878,85.93980523662563,87.67596291817361,0.0,78.33885725421209,69.068886,84.23802691510826,69.068886,89.44719449227813
t5,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,77.46629295069606,79.22911630482062,79.22911630482062,77.66022291264595,85.93980523662563,87.67596291817361,0.0,78.33885725421209,69.068886,70.46421703030303,69.068886,89.44719449227813
t6,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,77.46629295069606,79.22911630482062,79.22911630482062,77.66022291264595,85.93980523662563,87.67596291817361,0.0,78.33885725421209,69.068886,70.46421703030303,69.068886,89.44719449227813
t7,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,77.46629295069606,79.22911630482062,79.22911630482062,77.66022291264595,85.93980523662563,87.67596291817361,0.0,80.12949244425289,69.068886,70.46421703030303,69.068886,89.44719449227813
t8,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,77.46629295069606,79.22911630482062,78.34271864089878,77.66022291264595,85.93980523662563,87.67596291817361,0.0,79.23302157310792,69.068886,70.46421703030303,69.068886,89.44719449227813
t9,77.46629295069606,75.74269187144695,76.79143235178353,78.34277441949635,79.22911630482062,77.46629295069606,79.22911630482062,75.93236101410044,77.66022291264595,79.22911630482064,87.67596291817361,0.0,75.07914599947374,69.068886,70.46421703030303,69.068886,89.44719449227813
t10,77.46629295069606,75.74269187144695,75.45918996922698,73.78029884127345,79.22911630482062,77.46629295069606,79.22911630482062,75.74269187144695,74.61502252395285,74.61502252395285,76.12239671635594,0.0,0.0,69.068886,67.70118528712872,69.068886,74.61502252395285
t11,77.46629295069606,75.74269187144695,75.45918996922697,73.78029884127344,79.22911630482062,77.46629295069606,79.22911630482062,74.61502252395283,74.61502252395285,74.61502252395285,76.12239671635592,0.0,0.0,69.068886,46.89835612217822,47.84579766,74.61502252395285
t12,77.46629295069606,75.74269187144695,74.05744038357793,72.40968522053168,79.22911630482062,77.46629295069606,79.22911630482062,74.89529954568,71.88773656626876,71.59963280662892,69.068886,0.0,0.0,69.068886,15.445797660000004,47.84579766,70.46421703030303
t13,77.46629295069606,75.74269187144695,74.05744038357793,72.40968522053168,79.22911630482062,77.46629295069606,79.22911630482062,74.89529954568,71.88773656626876,71.59963280662892,69.068886,0.0,0.0,69.068886,15.445797660000004,15.75783397636364,70.46421703030303
t14,77.46629295069606,75.74269187144695,74.05744038357793,72.40968522053168,79.22911630482062,77.46629295069606,79.22911630482062,74.89529954568,71.88773656626876,73.22890227519514,69.068886,0.0,0.0,69.068886,15.445797660000004,15.75783397636364,70.46421703030303
t15,77.46629295069606,75.74269187144695,75.45918996922697,73.78029884127344,79.22911630482062,77.46629295069606,79.22911630482062,75.74269187144695,74.61502252395285,74.61502252395285,73.13749732545872,0.0,0.0,69.068886,15.445797660000004,47.84579766,74.61502252395285
t16,77.46629295069606,75.74269187144695,75.45918996922698,73.78029884127345,79.22911630482062,81.03205447610604,79.22911630482062,75.74269187144695,74.61502252395285,74.61502252395285,76.12239671635594,0.0,0.0,69.068886,15.445797660000004,47.84579766,74.61502252395285
t17,77.46629295069606,75.74269187144695,75.45918996922698,73.78029884127345,79.22911630482062,81.03205447610604,79.22911630482062,75.74269187144695,76.12239671635592,74.61502252395285,76.12239671635594,0.0,0.0,69.068886,67.70118528712872,69.068886,89.44719449227813
t18,77.46629295069606,75.74269187144695,76.59961736087878,75.26704636295781,79.22911630482062,81.03205447610604,79.22911630482062,75.74269187144695,77.466237796137,76.11859057070969,76.12239671635594,0.0,0.0,69.068886,69.068886,69.068886,89.44719449227813
t19,77.46629295069606,75.74269187144695,76.79143235178353,78.34277441949635,79.22911630482062,81.03205447610604,79.22911630482062,75.93236101410044,77.66022291264595,79.22911630482064,79.22911630482062,0.0,0.0,70.46421703030303,69.068886,69.068886,89.44719449227813
