Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13
,,,,,,,37,5488.320281,3121.111083,14457.574941,4440.288403,16704.813629,4669.858914,3793.208096,14208.568444,5090.707568,3431.060012,91763.141147,25729.282934,4693.905283
,,,,,,,38,5503.433392,3143.49998,14496.17464,4437.078097,16663.91501,4674.373418,3822.405883,14304.215889,5047.140638,3398.158694,91343.388509,25489.016607,4680.201535
,,,,,,,39,5532.038157,3192.449159,14741.026089,4490.295576,16752.323915,4702.695916,3836.130405,14459.777755,5229.902914,3359.240624,90426.837395,25511.038609,4729.903203
,,,,,,,40,5553.233823,3231.609532,15043.911051,4592.861347,16992.546919,4734.642147,3810.083293,14610.604544,5613.478174,3334.093668,89773.330493,26515.896168,4842.136481
,,,,,,,41,5563.53073,3225.33766,15200.8406,4656.080005,17014.688477,4717.65551,3771.469474,14688.219765,5465.465315,3442.784648,90544.724406,26423.51847,4866.767168
,,,,,,,42,5542.475085,3173.018163,14990.263323,4568.585364,16698.178379,4638.510019,3713.385871,14696.599022,5154.290469,3730.497807,93584.181841,26164.726959,4812.603316
,,,,,,,43,5500.436059,3112.879351,14666.621613,4428.002802,16220.232242,4527.513226,3649.174353,14575.024715,4866.773716,3801.349633,98440.049615,26085.737446,4663.108741
,,,,,,,44,5451.904646,3038.698213,14288.459473,4260.046806,15745.337461,4419.6001,3587.031838,14164.809231,4623.956651,3664.835286,98643.182314,25364.594547,4442.389317
,,,,,,,45,5398.064292,2974.352394,13845.272669,4077.700521,15258.118242,4312.906967,3519.413991,14391.465044,4350.325638,3455.168682,95083.934622,23826.387352,4122.343002
,,,,,,,46,5319.30659,2892.410187,13311.279116,3870.346318,14563.908145,4168.055756,3432.131401,14234.558933,4074.029062,3240.103605,89151.263106,22488.567903,3869.656923
,,,,,,,47,5250.452075,2815.076029,12826.379007,3665.237059,13760.845973,4022.32633,3337.572806,13825.625852,4058.546339,2972.57642,84490.396045,20916.13161,3594.102551
,,,,,,,48,5186.919386,2775.526534,12478.912177,3530.353233,13159.870323,3908.677081,3261.835168,13493.928116,3965.929622,2735.05201,80613.674424,19899.877311,3408.128762
,,,,,,,49,5106.178022,2788.340497,12489.842477,3199.928546,12909.431935,3744.610351,3266.000731,13462.8656,3931.347325,2335.382862,70017.768664,19356.583206,3316.515069
,,,,,,,50,5101.65526,2768.888543,12386.813833,3171.139737,12770.257735,3697.094878,3227.93728,13312.377669,3946.02546,2266.130814,64821.769914,18975.037412,3267.241589
,,,,,,,51,5104.50815,2763.95212,12337.582173,3163.862688,12735.364189,3683.299444,3217.043997,13277.520095,4018.601398,2245.602143,61756.907202,19026.897411,3230.60804
,,,,,,,52,5122.371186,2777.414419,12404.289873,3192.771544,12880.037286,3698.834766,3240.653223,13493.772249,4265.160025,2271.838779,60371.633968,19180.22556,3301.145891
,,,,,,,53,5193.99977,2823.535613,12730.221364,3309.093124,13503.514335,3795.971721,3318.816283,14237.023727,4912.248804,2355.306137,60515.361113,19972.336777,3593.908805
,,,,,,,54,5319.538925,2929.323843,13358.068404,3587.69171,14717.276439,4016.078988,3475.044385,14641.995179,5598.257652,2569.342891,61931.640234,22520.798398,4034.994132
,,,,,,,55,5434.092978,3052.153659,13942.222163,3865.838561,15871.301355,4262.289679,3657.62623,14694.554054,5796.443829,3022.19874,64846.115107,24195.762625,4427.580618
,,,,,,,56,5478.291963,3104.808835,14261.391961,3995.238721,16347.393987,4370.088042,3730.29475,14534.209598,5766.366354,3416.195217,71374.594338,24947.234519,4670.260929
,,,,,,,57,5486.090727,3138.357378,14529.204193,4083.145442,16572.069326,4436.109505,3762.312754,14467.997785,5828.947708,3471.831889,78139.490106,25275.591982,4772.851441
,,,,,,,58,5484.913232,3160.42918,14750.248318,4169.355736,16859.597621,4521.622413,3796.276241,14493.321608,5797.530263,3440.987814,82076.077237,25310.001792,4779.114437
,,,,,,,59,5487.837143,3170.049998,14837.797971,4206.22184,17042.468746,4555.577828,3822.330584,14539.786552,5672.928232,3416.918401,85016.341321,25549.46344,4731.596728
,,,,,,,60,5484.260743,3163.157107,14858.566284,4194.795933,17028.208023,4559.974355,3813.116434,14546.567084,5692.526694,3361.038602,87449.633712,25757.482805,4733.742258
,,,,,,,61,5492.568278,3159.298685,14843.223167,4200.411515,16915.250642,4568.928996,3824.038712,14449.266652,5624.768372,3314.827265,89591.67079,25966.848543,4740.056788
,,,,,,,62,5506.113298,3181.687582,14880.726741,4204.121268,16815.484176,4575.506393,3849.995843,14544.994851,5517.29181,3286.158556,89217.341451,25725.50323,4729.884183
,,,,,,,63,5524.310127,3230.636761,15085.72617,4276.981967,16797.314508,4603.673894,3860.11096,14699.842342,5643.824671,3242.89564,87989.79299,25774.524884,4791.155677
,,,,,,,64,5542.675531,3269.797134,15368.612507,4411.478944,16826.56613,4625.437501,3834.14692,14851.434052,5971.121235,3200.2645,87091.022951,26721.581568,4910.757176
,,,,,,,65,5550.543941,3263.525262,15437.753588,4499.419933,16626.778833,4589.890336,3797.096812,14928.787773,5762.022485,3298.521287,87826.345659,26548.684187,4922.475467
,,,,,,,66,5527.113385,3211.205765,15160.198594,4403.186492,16114.844859,4491.389546,3741.529939,14944.248442,5462.966555,3561.52864,91223.737058,26271.773975,4846.521099
,,,,,,,67,5480.149581,3151.066953,14796.715572,4234.615076,15522.225243,4363.588198,3679.130036,14830.724116,5174.166144,3601.002557,96840.596319,26199.216429,4684.096416
,,,,,,,68,5429.22267,3076.885815,14387.012954,4024.169982,15051.069276,4249.449701,3617.266779,14410.912113,4909.90856,3488.058151,97059.439231,25447.939924,4463.440578
,,,,,,,69,5364.080916,3012.539996,13915.846112,3804.392494,14637.882701,4142.908497,3548.472549,14642.182373,4596.555608,3282.123494,92910.64565,23913.277076,4153.56413
,,,,,,,70,5276.697413,2930.597789,13391.986469,3593.065766,14077.042048,4000.493326,3461.084877,14490.120217,4290.51741,3042.98909,86296.944211,22584.287049,3902.918708
,,,,,,,71,5198.989559,2853.263631,12947.42251,3392.548144,13400.278696,3867.362204,3369.277959,14080.665281,3990.065761,2748.346049,81297.451178,21027.54242,3622.132918
,,,,,,,72,5135.068273,2813.714136,12645.595,3258.253907,12880.525263,3768.207605,3297.937685,13746.833789,3895.405721,2507.974806,77364.384094,19456.932823,3431.646319
,,,,,,,73,5007.31112,2744.860533,11393.007779,3175.919417,12013.872688,3793.956319,3120.428248,13701.486129,3858.384995,2226.117587,70629.662095,18918.250973,3324.1428
,,,,,,,74,5001.16741,2725.408577,11250.817265,3143.253007,11873.458352,3744.859184,3082.273995,13557.90101,3871.020597,2152.821885,65372.512558,18531.914824,3275.813948
,,,,,,,75,5003.426215,2720.472155,11164.782469,3126.469238,11866.441109,3732.517758,3071.984621,13525.408068,3941.538959,2129.067616,62272.452307,18596.841624,3242.589344
,,,,,,,76,5020.795595,2733.934453,11170.342462,3140.400885,12023.533656,3749.734769,3095.592076,13735.289301,4181.529476,2152.219009,60827.905555,18756.842416,3317.197394
,,,,,,,77,5098.855032,2780.055649,11384.52125,3247.295631,12564.773404,3842.17061,3170.241774,14484.737891,4814.517438,2230.58803,60903.5867,19571.033633,3605.659446
,,,,,,,78,5242.473147,2885.843879,12089.363567,3533.135809,13756.713694,4063.228334,3320.695374,14883.663814,5498.02821,2438.313711,62168.306778,22154.978497,4033.969828
,,,,,,,79,5381.076681,3008.673694,12924.388799,3835.519081,15017.502947,4330.766961,3506.745922,14915.550104,5698.92261,2886.080147,64818.849747,23847.454799,4415.883115
,,,,,,,80,5441.545805,3061.32887,13408.523391,3982.57425,15560.844545,4456.488195,3586.371796,14736.655054,5673.158282,3284.29083,71563.4876,24561.262849,4651.830173
,,,,,,,81,5453.713771,3094.877414,13779.891483,4079.901836,15825.328589,4532.801969,3625.590284,14650.687809,5736.802764,3347.900633,78609.730906,24837.863134,4748.582933
,,,,,,,82,5455.38524,3116.949215,14093.850909,4173.95913,16132.497266,4627.673614,3666.524002,14660.530492,5705.905166,3327.326874,82629.145102,24855.289152,4750.620959
,,,,,,,83,5462.447006,3126.570033,14220.741002,4214.196811,16272.042937,4664.021852,3700.986978,14699.170301,5582.926819,3313.093783,85371.479966,25115.554502,4702.120513
,,,,,,,84,5461.82961,3119.677143,14255.071888,4201.683494,16215.103144,4669.001849,3694.517972,14699.774697,5596.755469,3264.396253,87708.721179,25346.590579,4702.512929
,,,,,,,85,5474.578321,3115.81872,14233.23474,4205.192671,16090.519313,4681.009587,3709.030711,14594.629199,5535.596265,3222.882072,89909.896088,25582.027651,4707.619496
,,,,,,,86,5492.181025,3138.207618,14283.026734,4205.628315,16037.454709,4691.899679,3739.021088,14672.439417,5449.694313,3197.931433,89552.93221,25358.304383,4694.168696
,,,,,,,87,5522.126847,3187.156797,14575.422747,4270.627671,16107.141586,4726.59526,3752.894475,14803.356658,5618.32825,3159.462704,88434.779886,25431.41613,4744.508126
,,,,,,,88,5548.013207,3226.317169,14942.328776,4385.932748,16319.13878,4756.408894,3725.353465,14950.175983,5962.81713,3126.39415,87606.03578,26399.527157,4852.52116
,,,,,,,89,5562.36827,3220.045298,15111.391345,4460.083235,16334.93957,4726.69298,3683.595408,15041.562985,5719.848091,3244.622906,88368.302183,26240.000259,4871.103908
,,,,,,,90,5535.65442,3167.7258,14835.595174,4370.055129,16035.993878,4630.171379,3621.02992,15096.89628,5383.133923,3506.887008,91778.808505,25983.487789,4814.9321
,,,,,,,91,5479.251186,3107.586989,14429.981181,4221.678718,15580.2638,4502.045876,3553.271918,15021.588652,5070.31906,3516.881941,97479.935493,25939.532238,4668.950822
,,,,,,,92,5416.798688,3033.40585,13962.300144,4043.497621,15118.609013,4384.879764,3488.67112,14602.146475,4796.060772,3381.024943,97608.669112,25189.990087,4452.744846
,,,,,,,93,5338.824221,2969.060032,13418.891419,3853.205553,14627.798666,4273.355739,3421.207569,14839.807681,4483.114957,3165.863675,93426.4666,23664.332016,4137.525274
,,,,,,,94,5232.774379,2887.117823,12777.194261,3645.093424,13925.991768,4123.463418,3335.872853,14709.399813,4188.272309,2927.044851,86753.687294,22343.753511,3889.436804
,,,,,,,95,5138.482249,2809.783666,12202.765972,3437.90195,13125.05248,3978.856236,3244.562571,14323.040356,3930.081297,2638.613507,81792.983247,20801.210591,3617.497242
,,,,,,,96,5058.048636,2770.23417,11794.60066,3300.038452,12534.665378,3867.988526,3171.450739,14006.88351,3830.690289,2399.879182,77968.433233,18879.345655,3433.83305
,,,,,,,97,5083.29619,2848.522328,12827.7986,3475.764753,12182.500546,3595.35781,3085.695799,14248.495974,3791.048905,2398.886245,71103.796517,18356.841778,3426.337866
,,,,,,,98,5076.609087,2829.070373,12690.600542,3439.932348,12035.124349,3545.542502,3047.43686,14101.781633,3797.488693,2319.585318,65915.484212,17984.803906,3377.302587
,,,,,,,99,5077.018113,2824.133949,12608.210373,3413.677883,12012.109016,3533.285795,3037.387194,14062.736792,3862.989873,2291.6864,62865.75333,18040.212889,3341.993604
,,,,,,,100,5087.681471,2837.596249,12661.397214,3414.555912,12152.231398,3550.643281,3062.270918,14240.878567,4086.933457,2311.612052,61469.916223,18222.627377,3408.170056
,,,,,,,101,5146.279492,2883.717443,13016.415306,3519.324733,12681.916304,3639.502594,3141.601221,15012.399913,4707.04486,2382.262913,61602.044018,19033.467622,3689.415822
,,,,,,,102,5265.109252,2989.505674,13794.054803,3818.303841,13849.427564,3850.509113,3299.170594,15425.78406,5393.89809,2580.048356,62975.79566,21605.298482,4119.800383
,,,,,,,103,5391.269398,3112.335488,14574.717562,4144.274864,15092.455947,4107.653062,3487.308357,15473.582,5587.672039,3024.282091,65809.779556,23282.495539,4513.49949
,,,,,,,104,5455.053927,3164.990665,15014.094343,4306.274119,15647.100568,4227.488527,3564.337299,15299.899797,5549.457436,3448.891903,72607.943141,24049.191416,4761.387911
,,,,,,,105,5471.692916,3198.539209,15365.272191,4410.888211,15927.565989,4300.027225,3599.378847,15213.932284,5592.891938,3549.326817,79527.495937,24392.366088,4863.501942
,,,,,,,106,5478.402006,3220.611011,15652.559718,4509.998068,16253.327637,4393.332058,3635.754585,15220.879129,5520.740989,3544.146511,83339.054931,24448.504658,4866.802341
,,,,,,,107,5489.015185,3230.231829,15767.500253,4550.649253,16417.138567,4429.325424,3662.956598,15257.836715,5343.862831,3529.453062,86152.060225,24694.153216,4814.058897
,,,,,,,108,5492.1138,3223.338937,15793.645425,4536.124631,16378.24397,4434.703882,3654.731128,15253.187706,5272.265404,3473.703562,88497.793245,24907.232112,4811.962617
,,,,,,,109,5506.613836,3219.480514,15768.721678,4535.604669,16258.995124,4448.910772,3668.249174,15148.174267,5142.412725,3425.582047,90696.553051,25133.910257,4817.628107
,,,,,,,110,5523.768334,3241.869413,15804.961426,4531.027888,16196.443386,4462.895934,3696.670869,15242.411968,5042.21721,3395.422211,90446.099554,24918.143243,4806.390877
,,,,,,,111,5555.683179,3290.818591,16048.543285,4582.53955,16248.382423,4502.241424,3710.515431,15396.251073,5190.178756,3349.440394,89335.659797,24974.197391,4859.733983
,,,,,,,112,5580.696355,3329.978964,16374.120963,4672.604526,16421.159461,4537.376253,3688.912029,15573.283462,5522.500918,3303.043569,88482.63151,25986.55568,4975.847267
,,,,,,,113,5594.291333,3323.707093,16453.63044,4727.765582,16375.692352,4514.341529,3656.973289,15687.12249,5347.833469,3397.192968,89201.835762,25892.436213,5005.079625
,,,,,,,114,5569.968834,3271.387594,16119.533522,4645.137716,16002.387161,4425.590227,3607.226135,15770.230629,5002.34168,3660.084655,92563.72456,25646.844594,4957.712129
,,,,,,,115,5519.381159,3211.248784,15691.676626,4520.628611,15491.981011,4304.663857,3548.058746,15706.598319,4690.096599,3702.982433,98203.499916,25588.280068,4811.733322
,,,,,,,116,5462.015312,3137.067644,15222.202608,4379.510281,15018.582019,4191.967604,3488.335547,15243.996551,4448.103367,3581.471614,98399.600756,24875.079518,4590.878043
,,,,,,,117,5394.511556,3072.721827,14680.095374,4222.418094,14551.764838,4080.57624,3417.973795,15511.311082,4192.824879,3367.079622,94299.818398,23353.160194,4267.501286
,,,,,,,118,5299.342297,2990.779619,14045.716171,4017.873548,13893.663321,3930.030183,3326.219334,15383.519322,3942.316196,3127.072835,87652.052613,22033.555293,4009.781433
,,,,,,,119,5215.379474,2913.445461,13488.842687,3805.029238,13124.589306,3787.091517,3228.007244,14970.078214,3812.265274,2830.496362,82647.500233,20477.52943,3728.805658
,,,,,,,120,5140.538925,2873.895965,13103.329231,3665.037783,12546.263465,3677.906901,3152.119811,14628.183913,3683.629877,2581.095436,78764.886771,15363.227668,3539.069989
,,,,,,,121,5156.438499,2931.800159,11988.784596,3219.964858,12636.030233,3438.423185,3174.556759,14977.805853,3618.187274,2486.354023,73998.085483,14703.602422,3505.411091
,,,,,,,122,5154.55935,2917.875317,11879.573702,3188.754518,12461.252566,3395.431416,3147.005434,14786.249069,3596.264001,2362.906267,69316.978807,14277.134478,3455.702496
,,,,,,,123,5156.536742,2909.145819,11829.120951,3171.946532,12358.791269,3378.725931,3136.364899,14556.309142,3606.037096,2299.74012,66318.350707,14141.414982,3412.951528
,,,,,,,124,5167.562063,2919.565986,11812.674484,3155.584574,12323.746362,3373.520522,3143.35609,14193.75465,3669.076565,2281.87978,64769.845673,14029.90101,3442.83865
,,,,,,,125,5205.864797,2953.748628,11898.315526,3171.924317,12346.579107,3358.133944,3162.317531,14259.694661,3881.546452,2292.079349,64284.355523,14022.249868,3592.961126
,,,,,,,126,5269.699029,3023.484274,12527.924524,3347.837895,12745.027918,3407.659245,3201.584604,14389.167281,4231.567065,2347.191874,64408.459291,14621.463569,3829.792215
,,,,,,,127,5324.216739,3102.144179,13371.159958,3604.19351,13529.927741,3568.66876,3269.900572,14484.286283,4502.22313,2488.350879,64844.445171,15272.10248,4079.656248
,,,,,,,128,5341.212985,3139.052048,13808.215044,3747.944771,14152.061094,3679.879646,3311.949903,14503.266611,4637.405975,2696.57625,66406.14251,16425.61779,4298.214493
,,,,,,,129,5344.310333,3166.278521,14081.166742,3830.115989,14685.576995,3764.373058,3358.67137,14583.473031,4703.977736,2935.832445,70612.04928,17714.182418,4443.170695
,,,,,,,130,5342.55198,3182.98745,14312.887965,3909.53809,15290.586343,3879.81121,3426.098948,14684.937507,4675.396596,3115.680953,75144.679811,18333.146115,4501.796762
,,,,,,,131,5341.807882,3186.331077,14377.980185,3948.539278,15675.273748,3935.181905,3493.119413,14782.731096,4578.406425,3200.784343,79609.488538,18569.550446,4506.58768
,,,,,,,132,5337.522762,3184.725917,14367.749392,3931.605754,15793.744926,3952.87152,3514.909891,14849.196605,4488.43185,3197.914109,82430.241729,18548.477095,4517.0313
,,,,,,,133,5339.703859,3178.566082,14315.48803,3935.918326,15787.274688,3978.010148,3553.257843,14815.865486,4435.558207,3158.48624,84112.016997,18584.196673,4519.875923
,,,,,,,134,5345.275236,3197.270139,14346.911094,3938.462993,15820.79517,4008.585649,3597.954806,14998.429135,4453.82892,3113.503304,83113.014814,18102.825359,4516.542039
,,,,,,,135,5346.992793,3234.073196,14614.772962,4012.137429,15963.784817,4066.268679,3639.761241,15233.002306,4677.299,3069.250882,80924.245058,18144.640072,4591.275438
,,,,,,,136,5352.208301,3260.898242,14955.140464,4112.666156,16206.603866,4118.680303,3635.430296,15474.012055,5055.681114,3047.342517,79582.756541,19328.147956,4737.02585
,,,,,,,137,5350.681497,3235.025129,15275.851366,4208.987753,16117.98184,4110.085346,3602.354041,15627.582807,4972.833607,3135.117819,79963.084141,19320.787918,4788.671393
,,,,,,,138,5337.663685,3170.37493,15221.977861,4183.097349,15607.223525,4032.153165,3536.917747,15684.215115,4654.811793,3402.905588,83444.277107,19222.226138,4757.125933
,,,,,,,139,5315.171962,3097.35841,14966.246032,4100.959172,14996.1154,3932.64966,3466.564804,15685.677765,4387.043768,3540.909803,88585.252918,18974.408159,4647.688341
,,,,,,,140,5291.651881,3016.589657,14570.709445,3983.92082,14555.145417,3850.391758,3413.075023,15465.568878,4202.635812,3462.107137,88416.277903,18409.088009,4462.269042
,,,,,,,141,5261.248045,2949.761608,14070.745533,3853.19717,14255.142788,3781.096893,3373.696708,15825.166292,4027.921627,3295.978034,84020.09519,17425.331479,4191.365314
,,,,,,,142,5220.637655,2874.902828,13475.384944,3699.673205,13867.071826,3699.556115,3327.945009,15841.440175,3844.091431,3114.078689,78979.312515,16542.007659,3980.826107
,,,,,,,143,5184.800691,2812.234985,12932.837588,3531.536517,13370.979706,3619.91662,3282.309921,15584.468942,3617.835578,2860.799485,75864.875143,15152.563589,3748.034475
,,,,,,,144,5157.172504,2798.179661,12544.526463,3417.567262,12952.232227,3550.680894,3245.080053,15330.484377,3497.734037,2620.408858,73636.635875,17220.103444,3583.638337
,,,,,,,145,4973.023919,2768.314514,12696.218448,3552.672707,12693.461066,3567.045785,3162.586621,14939.870292,3436.862936,2539.907721,70551.018911,16616.666476,3581.26978
,,,,,,,146,4966.857356,2748.862558,12583.962105,3520.978558,12534.611902,3528.915646,3132.338987,14793.615087,3420.717434,2434.443531,66102.330376,16249.01302,3534.573357
,,,,,,,147,4970.913117,2743.926135,12521.244309,3503.062587,12439.171107,3511.620911,3116.788142,14651.17873,3432.859349,2378.824018,63207.233186,16047.649666,3481.110497
,,,,,,,148,4995.429095,2757.388434,12581.546103,3519.051996,12411.498061,3501.036727,3112.268698,14464.751846,3499.757867,2360.853552,61702.08209,15875.678638,3485.895109
,,,,,,,149,5097.222566,2803.509628,12922.363675,3639.773936,12437.508495,3465.307767,3103.909543,14345.201668,3682.120914,2365.334255,61296.601254,15843.949642,3547.431436
,,,,,,,150,5274.835965,2909.297859,13650.959046,3938.668208,12690.687092,3485.296653,3106.048749,14324.514864,3975.983372,2407.387123,61451.157951,15713.405346,3694.098585
,,,,,,,151,5436.206039,3032.127674,14360.662905,4242.792097,13193.605947,3628.427508,3175.078521,14347.702929,4236.531575,2525.296538,60781.296884,15756.586303,3906.313721
,,,,,,,152,5499.243892,3084.782851,14732.349155,4386.509172,13713.074933,3735.09276,3237.775226,14382.330696,4385.642842,2704.631817,60111.652747,16560.303883,4157.056273
,,,,,,,153,5508.185355,3118.331394,15009.022015,4480.640231,14281.532623,3813.591852,3300.435726,14488.218356,4460.941284,2895.005451,62835.228601,17952.688822,4347.44067
,,,,,,,154,5505.43179,3140.403195,15228.944333,4569.943021,14947.941669,3919.923783,3378.901841,14602.143446,4471.560257,3045.062899,67540.279739,18835.174607,4434.394943
,,,,,,,155,5510.184776,3150.024014,15304.0275,4604.521581,15411.034138,3968.467445,3455.480344,14687.5576,4434.161482,3128.595185,72894.709121,19149.757138,4456.680811
,,,,,,,156,5506.629721,3143.131122,15304.990769,4589.96914,15590.297638,3979.543536,3477.343826,14762.264843,4426.180644,3141.195095,76626.147293,19402.880786,4460.573945
