Resource,Zone,New_Build,THERM,Cap_Size,VRE,Num_VRE_Bins,MUST_RUN,STOR,FLEX,HYDRO,LDS,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Up_Time,Down_Time,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Reg_Cost,Rsv_Cost,Reg_Max,Rsv_Max,region,cluster,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
wind_onshore_SE2,2,-1,0,0.0,1,1,0,0,0,0,0,10109.782117,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
wind_onshore_SE3,3,-1,0,0.0,1,1,0,0,0,0,0,4383.648485,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
wind_onshore_SE4,4,-1,0,0.0,1,1,0,0,0,0,0,2471.349307,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
solar_SE1,1,-1,0,0.0,1,1,0,0,0,0,0,51.735,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
solar_SE2,2,-1,0,0.0,1,1,0,0,0,0,0,500.83,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
solar_SE3,3,-1,0,0.0,1,1,0,0,0,0,0,7277.535,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
solar_SE4,4,-1,0,0.0,1,1,0,0,0,0,0,3174.285,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
burning_NO125,5,-1,2,500.0,0,0,0,0,0,0,0,150.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
burning_NO3,6,-1,2,500.0,0,0,0,0,0,0,0,37.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
burning_NO4,7,-1,2,500.0,0,0,0,0,0,0,0,211.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
must_run_NO125,5,-1,0,0.0,0,0,1,0,0,0,0,1251.295219,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
